train/n_updates,train/ent_coef,train/actor_loss,time/fps,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/ep_rew_mean
162998,0.002378508448600769,-325.48333740234375,100,815,0.06760849058628082,150.0,544,81600,456.14446871
164198,0.002437739633023739,-325.78839111328125,100,821,0.06901245564222336,150.0,548,82200,456.63456019
165398,0.0024433396756649017,-325.840576171875,100,827,0.078538678586483,150.0,552,82800,457.0228671500001
166598,0.0023775515146553516,-326.21343994140625,100,833,0.06460049003362656,150.0,556,83400,457.43682668999986
167798,0.002366343978792429,-326.4448547363281,100,838,0.0716237723827362,150.0,560,84000,457.68564761
168998,0.0023657414130866528,-326.4468994140625,100,844,0.06145380437374115,150.0,564,84600,457.8999428700001
170198,0.002366064116358757,-326.94342041015625,100,850,0.07065726071596146,150.0,568,85200,458.00181157
171398,0.002356263343244791,-327.3244323730469,100,856,0.07531905919313431,150.0,572,85800,457.72304894
172598,0.0023615690879523754,-327.3485412597656,100,862,0.06779421120882034,150.0,576,86400,457.49989346
173798,0.0023983020801097155,-327.34368896484375,100,868,0.06462230533361435,150.0,580,87000,457.94888424000004
174998,0.0024379838723689318,-327.618896484375,100,874,0.0735551118850708,150.0,584,87600,458.18073825
176198,0.0024083477910608053,-327.96734619140625,100,880,0.06797078251838684,150.0,588,88200,458.2207531199999
177398,0.0023837187327444553,-327.84869384765625,100,886,0.07067888230085373,150.0,592,88800,458.52756393
178598,0.0023141978308558464,-328.5284118652344,100,892,0.06368988007307053,150.0,596,89400,458.6059826400001
179798,0.002275311155244708,-328.3292236328125,100,898,0.05841781198978424,150.0,600,90000,458.60507967999996
180998,0.0022653406485915184,-328.3853759765625,100,904,0.059838104993104935,150.0,604,90600,458.47843343
182198,0.0022553340531885624,-328.57110595703125,100,910,0.06149262934923172,150.0,608,91200,458.23929657
183398,0.002252706093713641,-328.21356201171875,100,916,0.07122146338224411,150.0,612,91800,458.53212796
184598,0.002196603687480092,-328.64501953125,100,922,0.05647924169898033,150.0,616,92400,457.73963449
185798,0.0022369229700416327,-328.41644287109375,100,928,0.07575604319572449,150.0,620,93000,457.21051716
186998,0.002300193766131997,-328.4052734375,100,933,0.06448499858379364,150.0,624,93600,457.36251345000005
188198,0.002257096581161022,-328.5861511230469,100,939,0.0664915144443512,150.0,628,94200,458.05548818000005
189398,0.002175216330215335,-328.70751953125,100,945,0.06570977717638016,150.0,632,94800,458.09964787000007
190598,0.0021587125957012177,-328.9695129394531,100,951,0.06110062450170517,150.0,636,95400,458.58508301
191798,0.002139681950211525,-328.5592041015625,100,957,0.05652784928679466,150.0,640,96000,459.66614796
192998,0.002157643437385559,-328.8323669433594,100,963,0.054074402898550034,150.0,644,96600,460.0764264399999
194198,0.0021627009846270084,-329.076171875,100,969,0.06853174418210983,150.0,648,97200,460.70651979
195398,0.002229423262178898,-328.75811767578125,100,975,0.062116801738739014,150.0,652,97800,460.77048951999996
196598,0.0022552653681486845,-328.7975769042969,100,981,0.062033943831920624,150.0,656,98400,461.06383177000004
197798,0.002276747953146696,-328.9886474609375,100,987,0.06449009478092194,150.0,660,99000,460.7702534399999
198998,0.002268267562612891,-329.1866760253906,100,993,0.0648074522614479,150.0,664,99600,460.45864921
200198,0.002265737159177661,-329.10101318359375,100,999,0.06823708117008209,150.0,668,100200,460.21616152999997
201398,0.002182835480198264,-328.8124084472656,100,1005,0.07079178094863892,150.0,672,100800,460.72339043
202598,0.0021857840474694967,-329.02947998046875,100,1011,0.07385088503360748,150.0,676,101400,461.49895962000005
203798,0.0021851954516023397,-329.27691650390625,100,1016,0.06948335468769073,150.0,680,102000,461.63942733999994
204998,0.0021402849815785885,-329.30194091796875,100,1022,0.06179578974843025,150.0,684,102600,461.38128192999994
206198,0.002115154406055808,-329.78790283203125,100,1028,0.06561846286058426,150.0,688,103200,461.63427010999993
207398,0.0021826254669576883,-329.68157958984375,100,1034,0.06417562067508698,150.0,692,103800,461.58719818
208598,0.0021820124238729477,-329.9259338378906,100,1039,0.06420305371284485,150.0,696,104400,461.87404924
209798,0.0021973568946123123,-330.11358642578125,100,1045,0.06961595267057419,150.0,700,105000,462.13378360999997
210998,0.0022311632055789232,-330.27386474609375,100,1051,0.06282296031713486,150.0,704,105600,462.3167971799999
212198,0.0022165749687701464,-330.09210205078125,100,1057,0.07313914597034454,150.0,708,106200,462.33040454
213398,0.0021902695298194885,-330.3839111328125,100,1063,0.06282268464565277,150.0,712,106800,462.9023640600001
214598,0.002278197556734085,-330.35015869140625,100,1069,0.06262809783220291,150.0,716,107400,464.2252748400001
215798,0.0023957155644893646,-330.40399169921875,100,1075,0.08744444698095322,150.0,720,108000,465.0778209500001
216998,0.002284146612510085,-330.7935791015625,100,1081,0.07615938037633896,150.0,724,108600,465.03725599999996
218198,0.0021835174411535263,-330.626953125,100,1087,0.06640876084566116,150.0,728,109200,464.66623023000005
219398,0.002150540705770254,-330.8211669921875,100,1093,0.06725906580686569,150.0,732,109800,464.87721664000003
