time/total_timesteps,train/safe_critic_loss,train/n_updates,train/actor_loss,time/episodes,rollout/ep_len_mean,rollout/ep_cost_mean,train/ent_coef,train/critic_loss,train/lag_coef,rollout/ep_rew_mean,time/fps,time/time_elapsed
83424,0.028310813009738922,166646,-2144.6728515625,528,158.0,20.57,0.011604811064898968,0.05582352355122566,5.0,-719.8309848,52,1593
84056,0.024955887347459793,167910,-2145.58447265625,532,158.0,20.65,0.011596176773309708,0.05638318881392479,5.0,-720.79186668,52,1605
84688,0.029410630464553833,169174,-2147.59619140625,536,158.0,20.41,0.01166295912116766,0.06122085079550743,5.0,-721.4906912600001,52,1617
85320,0.022146189585328102,170438,-2150.1455078125,540,158.0,20.31,0.011612107045948505,0.04881889000535011,5.0,-721.9900941399999,52,1629
85952,0.024137569591403008,171702,-2149.67529296875,544,158.0,20.32,0.011710661463439465,0.05929674208164215,5.0,-722.5872821299998,52,1641
86584,0.028066931292414665,172966,-2151.1494140625,548,158.0,20.14,0.011683198623359203,0.07586550712585449,5.0,-722.6008791399998,52,1653
87216,0.02787737362086773,174230,-2152.94287109375,552,158.0,19.98,0.012002712115645409,0.0807112455368042,5.0,-722.7064624899999,52,1665
87848,0.03401271626353264,175494,-2154.5712890625,556,158.0,20.02,0.01206414308398962,0.0838146060705185,5.0,-722.40989675,52,1677
88480,0.03159130737185478,176758,-2157.246826171875,560,158.0,20.14,0.012092006392776966,0.08569085597991943,5.0,-721.5980858900001,52,1689
89112,0.027307841926813126,178022,-2160.32177734375,564,158.0,20.35,0.012148643843829632,0.06726983189582825,5.0,-721.3307581499998,52,1701
89744,0.03041229397058487,179286,-2160.849853515625,568,158.0,20.41,0.011951454915106297,0.06452134251594543,5.0,-721.0610483199998,52,1713
90376,0.031071074306964874,180550,-2162.524658203125,572,158.0,20.47,0.012068158946931362,0.055442262440919876,5.0,-721.4717633099998,52,1725
91008,0.023470386862754822,181814,-2163.8857421875,576,158.0,20.47,0.01197567768394947,0.04887305200099945,5.0,-722.6081003400001,52,1737
91640,0.024176694452762604,183078,-2166.16650390625,580,158.0,20.59,0.01169692724943161,0.05368679761886597,5.0,-723.8718084100001,52,1749
92272,0.023562805727124214,184342,-2168.3935546875,584,158.0,20.7,0.011499396525323391,0.04347416013479233,5.0,-724.68953428,52,1761
92904,0.034602776169776917,185606,-2168.29541015625,588,158.0,20.73,0.01140864472836256,0.057383012026548386,5.0,-725.7880566999999,52,1773
93536,0.03327954187989235,186870,-2168.73974609375,592,158.0,20.83,0.0115634985268116,0.05233267322182655,5.0,-726.47215754,52,1785
94168,0.024112632498145103,188134,-2168.97607421875,596,158.0,21.11,0.01136742439121008,0.045062754303216934,5.0,-727.05971009,52,1797
94800,0.022114699706435204,189398,-2169.3427734375,600,158.0,21.16,0.011541971005499363,0.04165152460336685,5.0,-727.76353748,52,1809
95432,0.021914508193731308,190662,-2171.70556640625,604,158.0,21.47,0.011490888893604279,0.04282894730567932,5.0,-728.05210609,52,1821
96064,0.029333921149373055,191926,-2171.00048828125,608,158.0,21.55,0.011697093956172466,0.050145622342824936,5.0,-728.75850053,52,1833
96696,0.027447590604424477,193190,-2172.251708984375,612,158.0,21.48,0.01157517172396183,0.05112938582897186,5.0,-729.23313986,52,1845
97328,0.032794974744319916,194454,-2172.6396484375,616,158.0,21.46,0.011728634126484394,0.04539525508880615,5.0,-729.5704006499998,52,1857
97960,0.02248208411037922,195718,-2173.170654296875,620,158.0,21.42,0.011555875651538372,0.04265112429857254,5.0,-729.7941120999998,52,1869
98592,0.021431690081954002,196982,-2173.43408203125,624,158.0,21.41,0.011640324257314205,0.04326104000210762,5.0,-730.1692596699999,52,1881
99224,0.023444054648280144,198246,-2173.45947265625,628,158.0,21.47,0.011496337130665779,0.05455798655748367,5.0,-730.2767336000001,52,1893
99856,0.022995267063379288,199510,-2174.16650390625,632,158.0,21.56,0.011533438228070736,0.050129055976867676,5.0,-730.9418837199999,52,1905
100488,0.028284726664423943,200774,-2173.982421875,636,158.0,21.6,0.01166886743158102,0.051879558712244034,5.0,-731.40363693,52,1917
101120,0.024492347612977028,202038,-2175.46484375,640,158.0,21.75,0.01192385796457529,0.055695485323667526,5.0,-731.3276979000001,52,1929
101752,0.03113502264022827,203302,-2175.7626953125,644,158.0,21.75,0.012199606746435165,0.08223899453878403,5.0,-730.6358765699999,52,1941
102384,0.03011219948530197,204566,-2176.69775390625,648,158.0,22.01,0.011697178706526756,0.08333558589220047,5.0,-730.8034706500001,52,1953
103016,0.02281149849295616,205830,-2176.752685546875,652,158.0,22.02,0.011522987857460976,0.05628470331430435,5.0,-731.37178541,52,1965
103648,0.026296155527234077,207094,-2175.910400390625,656,158.0,22.03,0.011670068837702274,0.0617809072136879,5.0,-731.9859819899998,52,1977
104280,0.030365215614438057,208358,-2175.537109375,660,158.0,21.92,0.011835134588181973,0.05818335711956024,5.0,-733.4063283399998,52,1989
104912,0.028636544942855835,209622,-2176.2626953125,664,158.0,21.6,0.01202551182359457,0.05895107239484787,5.0,-734.6894237800001,52,2001
105544,0.028081132099032402,210886,-2177.739990234375,668,158.0,21.21,0.01207654643803835,0.05247413367033005,5.0,-735.7685235000001,52,2013
