train/n_updates,train/critic_loss,time/episodes,train/actor_loss,time/fps,train/ent_coef,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean
1273206,0.01191557664424181,808,-246.62545776367188,99,0.0013769203796982765,636704,1932.5769129499997,6374,788.0
1279510,0.012939391657710075,812,-247.8456573486328,99,0.0013798781437799335,639856,1933.4369544200003,6405,788.0
1285814,0.011621162295341492,816,-246.74215698242188,99,0.001388341304846108,643008,1934.54517445,6437,788.0
1292118,0.012623714283108711,820,-248.02169799804688,99,0.001369290053844452,646160,1935.24865154,6468,788.0
1298422,0.012697495520114899,824,-247.93104553222656,99,0.0013679468538612127,649312,1936.2522423,6499,788.0
1304726,0.013026583939790726,828,-248.145263671875,99,0.0013934122398495674,652464,1937.1006165099998,6530,788.0
1311030,0.015546394512057304,832,-247.30911254882812,99,0.0013871045084670186,655616,1937.7549939999997,6562,788.0
1317334,0.015540048480033875,836,-248.54937744140625,99,0.001362330513074994,658768,1938.75219296,6593,788.0
1323638,0.014249778352677822,840,-249.61520385742188,99,0.001391485333442688,661920,1939.7505861099999,6624,788.0
1329942,0.014480248093605042,844,-247.03933715820312,99,0.0013810866512358189,665072,1940.4902754699997,6656,788.0
1336246,0.01141789648681879,848,-246.74472045898438,99,0.0013767601922154427,668224,1941.02263725,6687,788.0
1342550,0.011989089660346508,852,-250.803955078125,99,0.0014008998405188322,671376,1941.7999512100002,6719,788.0
1348854,0.013126818463206291,856,-246.96109008789062,99,0.0013869450194761157,674528,1942.41931725,6750,788.0
1355158,0.011143386363983154,860,-247.37245178222656,99,0.0013800709275528789,677680,1943.1114985400004,6780,788.0
1361462,0.012789717875421047,864,-248.512451171875,99,0.0013836600119248033,680832,1943.8314461499997,6812,788.0
1367766,0.015275076031684875,868,-248.63571166992188,99,0.0013870111433789134,683984,1944.3191554199998,6843,788.0
1374070,0.011438054032623768,872,-245.46327209472656,99,0.0013746899785473943,687136,1944.8242957200002,6873,788.0
1380374,0.01159724872559309,876,-248.70782470703125,99,0.0013894221046939492,690288,1945.46467731,6904,788.0
1386678,0.010994460433721542,880,-247.76974487304688,99,0.001365810981951654,693440,1946.36335345,6936,788.0
1392982,0.015237284824252129,884,-247.45811462402344,99,0.0013781565940007567,696592,1947.0784418399999,6967,788.0
