train/n_updates,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/critic_loss,train/actor_loss,train/ent_coef,rollout/ep_len_mean,time/episodes
1452398,451.04371781000003,98,3299,326400,0.029190288856625557,-306.0772705078125,0.002072473056614399,150.0,2176
1453598,450.92729934999994,98,3305,327000,0.028648078441619873,-306.6131591796875,0.002057474572211504,150.0,2180
1454798,451.1134567,98,3311,327600,0.03252691403031349,-306.1976318359375,0.0020469315350055695,150.0,2184
1455998,451.25605985000004,98,3317,328200,0.032317016273736954,-305.9208068847656,0.0020527110900729895,150.0,2188
1457198,451.53577834,98,3323,328800,0.02590939775109291,-306.7242431640625,0.002051737392321229,150.0,2192
1458398,451.78246272999985,98,3330,329400,0.034450311213731766,-306.93609619140625,0.002048359951004386,150.0,2196
1459598,452.19047936000004,98,3336,330000,0.02910475991666317,-306.18798828125,0.002031252020969987,150.0,2200
1460798,452.50836268,98,3342,330600,0.02740173041820526,-307.78692626953125,0.002026365604251623,150.0,2204
1461998,452.6837217899998,98,3348,331200,0.02712281607091427,-307.0296630859375,0.0020349002443253994,150.0,2208
1463198,452.91189585,98,3354,331800,0.03388293460011482,-306.7314453125,0.0020479781087487936,150.0,2212
1464398,452.97494735,98,3360,332400,0.02705538086593151,-306.22393798828125,0.0020334150176495314,150.0,2216
1465598,453.18282122999994,98,3366,333000,0.028908954933285713,-305.9881591796875,0.0020531320478767157,150.0,2220
1466798,453.24338231,98,3372,333600,0.03606122359633446,-306.9996643066406,0.0020234910771250725,150.0,2224
1467998,453.29183923000005,98,3378,334200,0.028608758002519608,-306.0902404785156,0.002021410036832094,150.0,2228
1469198,453.56789459999993,98,3385,334800,0.031847793608903885,-306.67950439453125,0.0020474675111472607,150.0,2232
1470398,453.69316369,98,3391,335400,0.030659854412078857,-307.5197448730469,0.0020205120090395212,150.0,2236
1471598,453.68675458000007,98,3397,336000,0.03109142556786537,-306.7456970214844,0.002020488725975156,150.0,2240
1472798,453.99049800000006,98,3403,336600,0.02816057950258255,-306.458251953125,0.0020078113302588463,150.0,2244
1473998,454.0185421,98,3410,337200,0.0368112251162529,-307.13555908203125,0.002036095829680562,150.0,2248
1475198,454.23718506000006,98,3416,337800,0.02894546650350094,-306.663818359375,0.0020147289615124464,150.0,2252
1476398,454.39835533999997,98,3422,338400,0.03224611282348633,-307.00469970703125,0.0020136781968176365,150.0,2256
1477598,454.7939292,98,3428,339000,0.030329186469316483,-307.0646667480469,0.002027415204793215,150.0,2260
1478798,454.8838048200001,98,3434,339600,0.03561597689986229,-307.31146240234375,0.002026290399953723,150.0,2264
1479998,455.04320687,98,3440,340200,0.028464455157518387,-307.26715087890625,0.0020249660592526197,150.0,2268
1481198,455.26160989999994,98,3447,340800,0.02802148647606373,-307.00640869140625,0.002026531845331192,150.0,2272
